Feature,Importância
18_VH,-0.0005354330708660915
22_VH,-0.00047244094488184006
NDMIR_stdDev,-0.0003740157480314532
14_VV,-0.0002874015748031011
2_NDWI,-0.0002834645669290903
4_VH,-0.0002519685039369635
9_VHVV,-0.00022047244094484776
VHVV_stdDev,-0.00021259842519680828
1_NDVI,-0.00021259842519680605
2_VV,-0.0001535433070865766
6_VH,-0.00015354330708657437
3_NDWI,-0.00013779527559050432
7_VHVV,-7.480314960625511e-05
8_NDVI,-2.3622047244049593e-05
19_VHVV,3.3306690738754695e-17
13_VHVV,3.937007874019738e-05
8_VH,0.0001535433070866632
11_NBR,0.00015354330708666986
5_NDVI,0.00016929133858272215
10_VH,0.00017322834645673303
2_NDVI,0.00017716535433075055
0_VH,0.00019291338582681395
6_NBR,0.00019291338582682504
17_VHVV,0.00020472440944885984
23_VHVV,0.00021259842519689266
6_NDBI,0.00022047244094492991
3_VHVV,0.00024015748031500195
15_VHVV,0.00024803149606304807
3_NDVI,0.0002519685039370523
1_VHVV,0.00025196850393705895
22_VV,0.000259842519685094
6_NDWI,0.0002755905511811485
12_VV,0.0002755905511811485
11_NDVI,0.00029921259842524695
3_NBR,0.00031889763779532123
4_NDWI,0.0003228346456693387
16_VV,0.00033070866141737376
5_VHVV,0.00034251968503941967
8_VV,0.00036220472440949835
11_VHVV,0.00038976377952761656
21_VHVV,0.0003976377952756427
3_NDMIR,0.0004212598425197345
NDBI_stdDev,0.0004251968503937453
0_VV,0.00045275590551185685
1_NDMIR,0.00045669291338586995
11_NDWI,0.00046062992125988744
8_NDMIR,0.000464566929133905
NBR_stdDev,0.0004842519685039792
2_VH,0.0005000000000000493
12_VH,0.0005157480314961082
4_NBR,0.0005236220472441433
4_NDBI,0.0005314960629921694
5_NDWI,0.0005944881889764209
10_VV,0.0005984251968504384
7_NDMIR,0.0005984251968504473
10_NDWI,0.0006102362204724842
6_NDVI,0.0006338582677165738
12_NDVI,0.0007086614173228689
18_VV,0.0007086614173228756
8_NBR,0.0007283464566929631
5_NDBI,0.0007519685039370505
7_NDVI,0.000771653543307127
16_VH,0.0007992125984252385
8_NDWI,0.0008110236220472822
VH_stdDev,0.0008818897637795686
3_NDBI,0.0009448818897638311
6_VV,0.0009921259842520125
5_NBR,0.0010314960629921677
14_VH,0.0010472440944882266
4_NDVI,0.001051181102362253
1_NBR,0.001078740157480369
7_NBR,0.0011062992125984738
9_NBR,0.0011496062992126421
VV_stdDev,0.0012047244094488673
12_NDWI,0.0012362204724409964
10_NDBI,0.0012480314960630356
2_NDBI,0.0012480314960630445
4_VV,0.0012874015748032086
7_NDWI,0.0012952755905512303
11_NDBI,0.0013149606299213113
10_NBR,0.001338582677165403
20_VH,0.001397637795275637
1_NDWI,0.0014409448818898164
12_NBR,0.0015157480314961136
10_NDVI,0.0015433070866142317
2_NBR,0.001547244094488247
9_NDMIR,0.0015944881889764261
11_NDMIR,0.0018031496062992658
9_NDVI,0.002043307086614228
20_VV,0.0021417322834646345
12_NDMIR,0.0021968503937008464
NDWI_stdDev,0.0025236220472441583
7_NDBI,0.0025472440944882503
9_NDWI,0.0026456692913386505
5_NDMIR,0.003807086614173283
9_NDBI,0.003807086614173287
8_NDBI,0.004019685039370136
6_NDMIR,0.004318897637795332
NDVI_stdDev,0.004988188976378012
1_NDBI,0.005011811023622104
10_NDMIR,0.005047244094488248
12_NDBI,0.005224409448818956
2_NDMIR,0.006141732283464627
4_NDMIR,0.006543307086614227
